,SPI1,GATA1,GATA2,TAL1,ZFPM1,FLI1,ERG,CBFA2T3,RUNX1,SMAD6,HHEX
S1.1,0,0,0,0,0,0,0,0,0,0,0
S2.1,0,1,0,1,0,0,0,0,0,0,0
S3.1,1,0,0,1,0,1,0,0,0,1,1
S3.2,1,0,1,1,0,1,0,0,0,1,1
S3.3,1,0,0,1,1,1,0,0,0,1,1
S3.4,1,0,1,1,1,1,0,0,0,1,1
S3.5,1,0,0,1,0,1,1,0,0,1,1
S3.6,1,0,1,1,0,1,1,0,0,1,1
S3.7,1,0,0,1,1,1,1,0,0,1,1
S3.8,1,0,1,1,1,1,1,0,0,1,1
S3.9,1,0,0,1,0,1,0,1,0,1,1
S3.10,1,0,1,1,0,1,0,1,0,1,1
S3.11,1,0,0,1,1,1,0,1,0,1,1
S3.12,1,0,1,1,1,1,0,1,0,1,1
S3.13,1,0,0,1,0,1,1,1,0,1,1
S3.14,1,0,1,1,0,1,1,1,0,1,1
S3.15,1,0,0,1,1,1,1,1,0,1,1
S3.16,1,0,1,1,1,1,1,1,0,1,1
S3.17,1,0,0,1,0,1,0,0,1,1,1
S3.18,1,0,1,1,0,1,0,0,1,1,1
S3.19,1,0,0,1,1,1,0,0,1,1,1
S3.20,1,0,1,1,1,1,0,0,1,1,1
S3.21,1,0,0,1,0,1,1,0,1,1,1
S3.22,1,0,1,1,0,1,1,0,1,1,1
S3.23,1,0,0,1,1,1,1,0,1,1,1
S3.24,1,0,1,1,1,1,1,0,1,1,1
S3.25,1,0,0,1,0,1,0,1,1,1,1
S3.26,1,0,1,1,0,1,0,1,1,1,1
S3.27,1,0,0,1,1,1,0,1,1,1,1
S3.28,1,0,1,1,1,1,0,1,1,1,1
S3.29,1,0,0,1,0,1,1,1,1,1,1
S3.30,1,0,1,1,0,1,1,1,1,1,1
S3.31,1,0,0,1,1,1,1,1,1,1,1
S3.32,1,0,1,1,1,1,1,1,1,1,1
